step,epoch_index,offset_in_epoch,samples_in_step,mean_margin,epoch_boundary_step,SemVariants_count,SemVariants_ratio,VisVariants_count,VisVariants_ratio,DermQA_count,DermQA_ratio,SI1_count,SI1_ratio,SI2_count,SI2_ratio,loss,grad_norm,learning_rate,log_epoch
155,1,155,256,0.1325044556579087,False,25,0.09765625,52,0.203125,19,0.07421875,76,0.296875,84,0.328125,,,,
156,1,156,256,0.14120325786643662,False,31,0.12109375,39,0.15234375,16,0.0625,81,0.31640625,89,0.34765625,,,,
157,1,157,256,0.14180441302596591,False,29,0.11328125,45,0.17578125,20,0.078125,82,0.3203125,80,0.3125,,,,
158,1,158,256,0.13885755611408968,False,26,0.1015625,51,0.19921875,20,0.078125,75,0.29296875,84,0.328125,,,,
159,1,159,256,0.13052554907335434,False,39,0.15234375,54,0.2109375,17,0.06640625,69,0.26953125,77,0.30078125,,,,
160,1,160,256,0.1492276070639491,False,37,0.14453125,53,0.20703125,22,0.0859375,81,0.31640625,63,0.24609375,,,,
161,1,161,256,0.1353367551928386,False,31,0.12109375,49,0.19140625,27,0.10546875,74,0.2890625,75,0.29296875,,,,
162,1,162,256,0.13180658934288658,False,29,0.11328125,51,0.19921875,26,0.1015625,71,0.27734375,79,0.30859375,,,,
163,1,163,256,0.13017379193843226,False,26,0.1015625,55,0.21484375,23,0.08984375,72,0.28125,80,0.3125,,,,
164,1,164,256,0.11932688615343068,False,29,0.11328125,60,0.234375,21,0.08203125,70,0.2734375,76,0.296875,,,,
165,1,165,256,0.14582966548914555,False,35,0.13671875,48,0.1875,14,0.0546875,84,0.328125,75,0.29296875,,,,
166,1,166,256,0.1343609039322473,False,29,0.11328125,47,0.18359375,23,0.08984375,75,0.29296875,82,0.3203125,,,,
167,1,167,256,0.12451827792392578,False,27,0.10546875,53,0.20703125,21,0.08203125,66,0.2578125,89,0.34765625,,,,
168,1,168,256,0.13615928328363225,False,30,0.1171875,49,0.19140625,20,0.078125,68,0.265625,89,0.34765625,,,,
169,1,169,256,0.12123488796351012,False,32,0.125,54,0.2109375,20,0.078125,74,0.2890625,76,0.296875,,,,
170,1,170,256,0.13125843310263008,False,35,0.13671875,54,0.2109375,18,0.0703125,71,0.27734375,78,0.3046875,,,,
171,1,171,256,0.14837453540530987,False,34,0.1328125,53,0.20703125,19,0.07421875,82,0.3203125,68,0.265625,,,,
172,1,172,256,0.13813079350802582,False,31,0.12109375,50,0.1953125,20,0.078125,73,0.28515625,82,0.3203125,,,,
173,1,173,256,0.14367819554172456,False,29,0.11328125,50,0.1953125,15,0.05859375,81,0.31640625,81,0.31640625,,,,
174,1,174,256,0.15528236955287866,False,29,0.11328125,52,0.203125,12,0.046875,83,0.32421875,80,0.3125,,,,
175,1,175,256,0.13969101256225258,False,33,0.12890625,43,0.16796875,17,0.06640625,74,0.2890625,89,0.34765625,,,,
176,1,176,256,0.1354381751443725,False,34,0.1328125,42,0.1640625,21,0.08203125,69,0.26953125,90,0.3515625,,,,
177,1,177,256,0.14096360566327348,False,33,0.12890625,58,0.2265625,15,0.05859375,66,0.2578125,84,0.328125,,,,
178,1,178,256,0.12717295085894875,False,24,0.09375,58,0.2265625,23,0.08984375,70,0.2734375,81,0.31640625,,,,
179,1,179,256,0.13234501506667584,False,35,0.13671875,51,0.19921875,22,0.0859375,75,0.29296875,73,0.28515625,,,,
180,1,180,256,0.1246226544608362,False,35,0.13671875,46,0.1796875,22,0.0859375,67,0.26171875,86,0.3359375,,,,
181,1,181,256,0.13924062055593822,False,43,0.16796875,33,0.12890625,20,0.078125,88,0.34375,72,0.28125,,,,
182,1,182,256,0.12230175989679992,False,21,0.08203125,59,0.23046875,20,0.078125,74,0.2890625,82,0.3203125,,,,
183,1,183,256,0.12912766152294353,False,31,0.12109375,54,0.2109375,12,0.046875,76,0.296875,83,0.32421875,,,,
184,1,184,256,0.13816027564462274,False,31,0.12109375,44,0.171875,20,0.078125,69,0.26953125,92,0.359375,,,,
185,1,185,256,0.12841058251797222,False,30,0.1171875,58,0.2265625,26,0.1015625,62,0.2421875,80,0.3125,,,,
186,1,186,256,0.1293304674763931,False,35,0.13671875,53,0.20703125,16,0.0625,77,0.30078125,75,0.29296875,,,,
187,1,187,256,0.13085946388309821,False,31,0.12109375,48,0.1875,19,0.07421875,84,0.328125,74,0.2890625,,,,
188,1,188,256,0.1389186109881848,False,28,0.109375,46,0.1796875,26,0.1015625,87,0.33984375,69,0.26953125,,,,
189,1,189,256,0.14065889712946955,False,32,0.125,45,0.17578125,19,0.07421875,92,0.359375,68,0.265625,,,,
190,1,190,256,0.1382821684528608,False,28,0.109375,43,0.16796875,24,0.09375,75,0.29296875,86,0.3359375,,,,
191,1,191,256,0.14124464549240656,False,25,0.09765625,43,0.16796875,16,0.0625,83,0.32421875,89,0.34765625,,,,
192,1,192,256,0.13074965990381315,False,31,0.12109375,45,0.17578125,16,0.0625,86,0.3359375,78,0.3046875,,,,
193,1,193,256,0.1586166521301493,False,32,0.125,39,0.15234375,22,0.0859375,91,0.35546875,72,0.28125,,,,
194,1,194,256,0.13161756403860636,False,33,0.12890625,38,0.1484375,20,0.078125,78,0.3046875,87,0.33984375,,,,
195,1,195,256,0.12405026849592105,False,29,0.11328125,60,0.234375,13,0.05078125,74,0.2890625,80,0.3125,,,,
196,1,196,256,0.1227046599087771,False,30,0.1171875,42,0.1640625,27,0.10546875,63,0.24609375,94,0.3671875,,,,
197,1,197,256,0.1589774650055915,False,38,0.1484375,48,0.1875,17,0.06640625,83,0.32421875,70,0.2734375,,,,
198,1,198,256,0.14066416383138858,False,29,0.11328125,42,0.1640625,16,0.0625,85,0.33203125,84,0.328125,,,,
199,1,199,256,0.13956293975934386,False,30,0.1171875,53,0.20703125,21,0.08203125,82,0.3203125,70,0.2734375,,,,
200,1,200,256,0.13375930895563215,False,25,0.09765625,51,0.19921875,16,0.0625,83,0.32421875,81,0.31640625,,,,
201,1,201,256,0.14564415931818075,False,29,0.11328125,52,0.203125,17,0.06640625,80,0.3125,78,0.3046875,,,,
202,1,202,256,0.12729372427565977,False,37,0.14453125,41,0.16015625,25,0.09765625,62,0.2421875,91,0.35546875,,,,
203,1,203,256,0.14528705287375487,False,27,0.10546875,41,0.16015625,18,0.0703125,70,0.2734375,100,0.390625,,,,
204,1,204,256,0.11577695477171801,False,30,0.1171875,51,0.19921875,23,0.08984375,69,0.26953125,83,0.32421875,,,,
205,1,205,256,0.119211976591032,False,29,0.11328125,52,0.203125,18,0.0703125,67,0.26171875,90,0.3515625,,,,
206,1,206,256,0.12934607220813632,False,20,0.078125,52,0.203125,17,0.06640625,81,0.31640625,86,0.3359375,,,,
207,1,207,256,0.1263569698057836,False,24,0.09375,54,0.2109375,24,0.09375,67,0.26171875,87,0.33984375,,,,
208,1,208,256,0.15322866479982622,False,33,0.12890625,53,0.20703125,20,0.078125,77,0.30078125,73,0.28515625,,,,
